texto,label_real,label_texto,predicao
"Lindo de se ver!!! Gente boa, Bolsonaro cuidem das crianças da Ilha do Marajo. Juntos todos podemos. Grata",0,Não-ofensivo,Não-ofensivo
Me da mais raiva de quem vota nessa corja e apoia esses traidores,1,Ofensivo,Ofensivo
ALGUÉM PODERIA ME INFORMAR SE ESSE COISO É GENTE OU UM DEMÔNIO ENCORPORADO?,1,Ofensivo,Ofensivo
Outra esquerdista cara de pau! Não basta os do Brasil! 😡,1,Ofensivo,Ofensivo
Com tempo e na expectativa,0,Não-ofensivo,Não-ofensivo
@lindegomes família PT tá bem perto desse partido das trevas acabar,1,Ofensivo,Ofensivo
Parabéns Eduardo Bolsonaro merece o nosso respeito!!🇧🇷🇧🇷,0,Não-ofensivo,Ofensivo
Viva nosso ministro,0,Não-ofensivo,Não-ofensivo
O amor vai sempre vencer o ódio ❤❤O maior presidente do Brasil de todos os tempos.,0,Não-ofensivo,Não-ofensivo
Exatamente . Está na hora de parar de falar besteira e de prejudicar a imagem do pai!,0,Não-ofensivo,Ofensivo
SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,1,Ofensivo,Ofensivo
Como Portuguesa e Progressista. Saudo essas três mulheres guerreiras que tanto orgulham todas as mulheres Progressistas Brasileiras e do mundo ❤❤❤❤👏👏👏👏👏,0,Não-ofensivo,Não-ofensivo
Esse sim É excelente p uma entrevista 🙏👏👏👏🇧🇷🇧🇷🇧🇷+,0,Não-ofensivo,Não-ofensivo
Revoltante o q este ser fez.,1,Ofensivo,Ofensivo
"Imediatamente abrir um processo de cassação desse deputado por falta de decoro parlamentar, destruição do patrimônio público e crime de racismo!",0,Não-ofensivo,Ofensivo
@amaral9712 o pior de tudo isso é ver um percentual de Brasileiro batendo palma para um incompetente! Esse aí vai conseguir bater o recorde da Dilma! Levar o país mais rápido e a mais profunda crise econômica!,1,Ofensivo,Ofensivo
O governador do Rio também.,0,Não-ofensivo,Não-ofensivo
"Agora essa nova esquerda light quer calar os filhos??? E o pai também será??? Gente asquerosa, invejosa e que só pensa no poder pelo poder, não ta nem ai pro país! Sou Bolsonaro e família sim, desses tipinhos aí o país ta cheio e deu no que deu até agora!",1,Ofensivo,Ofensivo
"Muito bem Alexandre, continue a nos representar na imprensa brasileira, porque parte dela não sei que pensa, mas querem a desgraça do Brasil, será porque foi cortado alguns privilégios que tinham? A imprensa que você de privilégios de governos é porque não tem capacidade e nem qualidade. No Brasil a faze cubana, chavista e comunista tá com os dias contados e se Deus quiser vai zerar e estas desgraças, como Lula, José Dirceu, Dilma e seus comparsas vai sumir do mapa igual os dinosauros pré histórico,",1,Ofensivo,Ofensivo
MENTIROSA NÃO MERECE RESPOSTA PORQUE A SUA PERGUNTA JÁ É UMA MENTIRA QUE FALA POR SI SÓ. CHUPA GLOBOLIXO!😡🤜💥🐀💨👉,1,Ofensivo,Ofensivo
