texto,label_real,label_texto,predicao
"Lindo de se ver!!! Gente boa, Bolsonaro cuidem das crianças da Ilha do Marajo. Juntos todos podemos. Grata",0,Não-ofensivo,Não-ofensivo
Me da mais raiva de quem vota nessa corja e apoia esses traidores,1,Ofensivo,Ofensivo
ALGUÉM PODERIA ME INFORMAR SE ESSE COISO É GENTE OU UM DEMÔNIO ENCORPORADO?,1,Ofensivo,Não-ofensivo
Outra esquerdista cara de pau! Não basta os do Brasil! 😡,1,Ofensivo,Ofensivo
Com tempo e na expectativa,0,Não-ofensivo,Não-ofensivo
@lindegomes família PT tá bem perto desse partido das trevas acabar,1,Ofensivo,Ofensivo
Parabéns Eduardo Bolsonaro merece o nosso respeito!!🇧🇷🇧🇷,0,Não-ofensivo,Não-ofensivo
Viva nosso ministro,0,Não-ofensivo,Não-ofensivo
O amor vai sempre vencer o ódio ❤❤O maior presidente do Brasil de todos os tempos.,0,Não-ofensivo,Não-ofensivo
Exatamente . Está na hora de parar de falar besteira e de prejudicar a imagem do pai!,0,Não-ofensivo,Ofensivo
SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,1,Ofensivo,Ofensivo
Como Portuguesa e Progressista. Saudo essas três mulheres guerreiras que tanto orgulham todas as mulheres Progressistas Brasileiras e do mundo ❤❤❤❤👏👏👏👏👏,0,Não-ofensivo,Não-ofensivo
Esse sim É excelente p uma entrevista 🙏👏👏👏🇧🇷🇧🇷🇧🇷+,0,Não-ofensivo,Não-ofensivo
Revoltante o q este ser fez.,1,Ofensivo,Não-ofensivo
"Imediatamente abrir um processo de cassação desse deputado por falta de decoro parlamentar, destruição do patrimônio público e crime de racismo!",0,Não-ofensivo,Ofensivo
@amaral9712 o pior de tudo isso é ver um percentual de Brasileiro batendo palma para um incompetente! Esse aí vai conseguir bater o recorde da Dilma! Levar o país mais rápido e a mais profunda crise econômica!,1,Ofensivo,Ofensivo
O governador do Rio também.,0,Não-ofensivo,Não-ofensivo
"Agora essa nova esquerda light quer calar os filhos??? E o pai também será??? Gente asquerosa, invejosa e que só pensa no poder pelo poder, não ta nem ai pro país! Sou Bolsonaro e família sim, desses tipinhos aí o país ta cheio e deu no que deu até agora!",1,Ofensivo,Ofensivo
"Muito bem Alexandre, continue a nos representar na imprensa brasileira, porque parte dela não sei que pensa, mas querem a desgraça do Brasil, será porque foi cortado alguns privilégios que tinham? A imprensa que você de privilégios de governos é porque não tem capacidade e nem qualidade. No Brasil a faze cubana, chavista e comunista tá com os dias contados e se Deus quiser vai zerar e estas desgraças, como Lula, José Dirceu, Dilma e seus comparsas vai sumir do mapa igual os dinosauros pré histórico,",1,Ofensivo,Ofensivo
MENTIROSA NÃO MERECE RESPOSTA PORQUE A SUA PERGUNTA JÁ É UMA MENTIRA QUE FALA POR SI SÓ. CHUPA GLOBOLIXO!😡🤜💥🐀💨👉,1,Ofensivo,Ofensivo
"Esse programa já foi melhorzinho, bando de cretinos",1,Ofensivo,Ofensivo
"Estão arroxados, a TETA secou🤣🤣🤣🤣🤣🤣🤣onde está Paulo Pimentel , Gleice Hoffman e essezinho aí, pode esperar... DESESPERO DE CAUSA. Estão oprimidos tadinhos.Deixe ""eis""",1,Ofensivo,Ofensivo
Que corja asqueirosa.,1,Ofensivo,Ofensivo
Outra pilantra!,1,Ofensivo,Ofensivo
🇧🇷JAIR MESSIAS BOLSONARO🇧🇷 O VERDADEIRO PRESIDENTE DO BRASIL 🙌🇧🇷🙌,0,Não-ofensivo,Não-ofensivo
Bandido!! 👹 Deus nós livre desse capeta em carne e osso.,1,Ofensivo,Ofensivo
"Esse congresso só trabalha contra o país. E por acaso são intocáveis? Ninguém consegue fazer nada???? Ninguém pode fazer nada? É isso??? Estamos estamos refém de representantes #corruptos, que ao invés de olhar para o seu povo , só trabalham com viés políticos e para seus próprios umbigos. O presidente não tem poder para nada??? É isso mesmo???",1,Ofensivo,Ofensivo
"O Congresso, Senado e o STF perderam o respeito pelo povo Brasileiro.",0,Não-ofensivo,Não-ofensivo
Isso é um escroto. Velho safado.🤮,1,Ofensivo,Ofensivo
"Ministro, por favor, cuide da reestruturação da carreira dos Técnicos Administrativos em Educação (TAEs) dos Institutos e Universidades Federais. Somos a carreira com piores salários e a mais desprestigiada, acumulamos perdas inflacionárias acima de 50%, mais perdas até que os docentes. Nós fizemos campanha no Brasil Participativo. Ficamos com zero de reajuste no vencimento básico para 2024, hoje ganhamos metade do que ganhávamos (em salários mínimos). Isso é verg0nhoso, ajude nossa carreira para que ela não acabe, pois cada vez mais servidores estão indo embora da carreira. Por favor, não esqueça! @estherdweck_ @camilosantanaoficial @lulaoficial @fernandohaddadoficial",1,Ofensivo,Não-ofensivo
Seria tão bom se esses filhos do Bolsonaro ficassem calados para sempre!!!!,1,Ofensivo,Ofensivo
O STF acaba com qualquer bom sonho dos Brasileiros !!Vermes .,1,Ofensivo,Ofensivo
Acho pouco quem mandou votar,0,Não-ofensivo,Não-ofensivo
Essa passou na fila da beleza várias vezes 😍,0,Não-ofensivo,Não-ofensivo
Cadê as forças armadas!!!!!Socorro!!!!!,1,Ofensivo,Não-ofensivo
Esse Sílvio santos é um VERME. U criminoso. Onde estava a VACA da Damares protetora da família. Essa pilantra não defende família coisa nenhuma.,1,Ofensivo,Ofensivo
Inacreditável mesmo!,0,Não-ofensivo,Não-ofensivo
Vocês falarem em roubo é uma comédia. #ptcorrupto #ptlixo,1,Ofensivo,Ofensivo
"O presidente Lula tem que fazer alguma coisa pelos aposentados! Os aposentados precisam de ter seus benefícios reajustados. O governo anterior não fez nada pelos aposentados. Estamos aguardando o Presidente Lula, pois também somos eleitores! Nossos benefícios estão super defasados!",0,Não-ofensivo,Não-ofensivo
VC deveria ser o presidente!,0,Não-ofensivo,Não-ofensivo
"Boa pergunta, #CarlaZambelli!!!!",0,Não-ofensivo,Não-ofensivo
"Carta Capital!!!! É lixo!! Escrotos, Mal Amados, Vagabundos, Ordinários, Salafrários, Dementes, Demônios...e ficaria o dia todo escrevendo sobre vcs seus fdps #cartacapitallixo",1,Ofensivo,Ofensivo
"Otária, BABACA.",1,Ofensivo,Ofensivo
Vcs tem rabo preso com a @joicehasselmannoficial por isso não conseguem parar ela. Com certeza vcs tem acordos inacabados. Política continua suja.só mudou da esquerda pra direita. É uma pena,1,Ofensivo,Ofensivo
